단축코드,한글 종목명
033200,모아텍
333050,모코엠시스
009680,모토닉보통주
118990,모트렉스
463480,모티브링크
006920,모헨즈
001810,무림에스피
009200,무림페이퍼보통주
009580,무림피앤피보통주
322970,무진메디
033920,무학보통주
008420,문배철강보통주
279600,미디어젠
095500,미래나노텍
254490,미래반도체
025560,미래산업보통주
218150,미래생명자원
007120,미래아이앤지보통주
396690,미래에셋글로벌리츠보통주
442900,미래에셋드림기업인수목적1호 주식회사
357250,미래에셋맵스리츠보통주
094800,미래에셋맵스아시아퍼시픽부동산공모1호
100790,미래에셋벤처투자
446190,미래에셋비전기업인수목적2호
448830,미래에셋비전기업인수목적3호
477380,미래에셋비전기업인수목적4호
477470,미래에셋비전기업인수목적5호
478440,미래에셋비전기업인수목적6호
482680,미래에셋비전기업인수목적7호
085620,미래에셋생명보험보통주
006800,미래에셋증권보통주
208890,미래엔에듀파트너
049950,미래컴퍼니
207760,미스터블루
081660,미스토홀딩스보통주
002840,미원상사보통주
268280,미원스페셜티케미칼보통주
107590,미원홀딩스 보통주
134380,미원화학보통주
351020,미쥬
003650,미창석유공업보통주
059090,미코
201490,미투온
475460,미트박스글로벌
452200,민테크
206640,바디텍메드
018700,바른손
035620,바른손이앤에이
354390,바스칸바이오제약
053030,바이넥스
301300,바이브컴퍼니
377740,바이오노트보통주
064550,바이오니아
314930,바이오다인
489460,바이오비쥬
086820,바이오솔루션
038460,바이오스마트
251120,바이오에프디엔씨
199730,바이오인프라
266470,바이오인프라생명과학
289170,바이오텐
086040,바이오톡스텍
188040,바이오포트코리아
199290,바이오프로테크
099430,바이오플러스
032980,바이온
308080,바이젠셀
043150,바텍
323990,박셀바이오
003610,방림보통주
267790,배럴
046310,백금티앤에이
035150,백산보통주
331520,밸로프
199480,뱅크웨어글로벌
438700,버넥트
066410,버킷스튜디오
002410,범양건영보통주
382900,범한퓨얼셀
206400,베노티앤알
019010,베뉴지
177350,베셀
457600,벡트
424760,벨로크
007210,벽산보통주
250000,보라티알
002760,보락보통주
003850,보령보통주
310210,보로노이
006910,보성파워텍
000890,보해양조보통주
226340,본느
206950,볼빅
008470,부-스타
003000,부광약품보통주
001270,부국증권보통주
026940,부국철강 보통주
014470,부방
011390,부산산업보통주
005030,부산주공보통주
338220,뷰노
100120,뷰웍스
406820,뷰티스킨
099390,브레인즈컴퍼니
064480,브리지텍
288330,브릿지바이오테라퓨틱스
365900,브이씨
089970,브이엠
251630,브이원텍
018290,브이티
478560,블랙야크아이앤씨
439580,블루엠텍
033560,블루콤
191600,블루탑
369370,블리츠웨이엔터테인먼트
126340,비나텍
121800,비덴트
082800,비보존제약
318410,비비씨
002070,비비안보통주
100220,비상교육 보통주
419540,비스토스
146320,비씨엔씨
200780,비씨월드제약
413640,비아이매트릭스
141000,비아트론
090460,비에이치보통주
083650,비에이치아이
139050,비에프랩스
473370,비엔케이제2호기업인수목적
065170,비엘팜텍
086670,비엠티
335890,비올
230980,비유테크놀러지
126600,비지에프에코머티리얼즈
082920,비츠로셀
054220,비츠로시스
042370,비츠로테크
050090,비케이홀딩스
148780,비큐에이아이
307870,비투엔
377030,비트맥스
032850,비트컴퓨터
238200,비피도
093190,빅솔론
065450,빅텍
044480,빌리언스
005180,빙그레보통주
069540,빛과전자
072950,빛샘전자
266170,뿌리깊은나무들
451250,삐아
143240,사람인
466410,사이냅소프트
003960,사조대림보통주
008040,사조동아원보통주
007160,사조산업보통주
014710,사조씨푸드보통주
006090,사조오양보통주
452430,사피엔반도체
419120,산돌
062040,산일전기보통주
122350,삼기
419050,삼기에너지솔루션즈
014970,삼륭물산
018310,삼목에스폼
012210,삼미금속
053700,삼보모터스
009620,삼보산업
023600,삼보판지
001470,삼부토건보통주
028050,삼성E&A보통주
448730,삼성FN리츠보통주
006400,삼성SDI보통주
006660,삼성공조보통주
448740,삼성기업인수목적8호
028260,삼성물산보통주
207940,삼성바이오로직스보통주
032830,삼성생명보험보통주
018260,삼성에스디에스보통주
009150,삼성전기보통주
005930,삼성전자보통주
001360,삼성제약
010140,삼성중공업보통주
016360,삼성증권보통주
068290,삼성출판사보통주
029780,삼성카드 보통주
000810,삼성화재해상보험보통주
006110,삼아알미늄보통주
009300,삼아제약
145990,삼양사보통주
003230,삼양식품보통주
482630,삼양엔씨켐
036670,삼양케이씨아이
002170,삼양통상보통주
272550,삼양패키징보통주
000070,삼양홀딩스보통주
060310,삼에스코리아
002810,삼영무역보통주
003720,삼영보통주
361670,삼영에스앤씨
054540,삼영엠텍
065570,삼영이엔씨
005680,삼영전자공업보통주
023000,삼원강재 보통주
004380,삼익THK보통주
002450,삼익악기보통주
032280,삼일
002290,삼일기업공사
004440,삼일씨엔에스보통주
000520,삼일제약보통주
009770,삼정펄프 보통주
037460,삼지전자
032750,삼진
054090,삼진엘앤디
005500,삼진제약보통주
000250,삼천당제약
004690,삼천리보통주
024950,삼천리자전거
038500,삼표시멘트
437730,삼현
017480,삼현철강
010960,삼호개발 보통주
046390,삼화네트웍스
004450,삼화왕관보통주
009470,삼화전기보통주
011230,삼화전자공업보통주
001820,삼화콘덴서공업보통주
000390,삼화페인트공업보통주
027580,상보
038540,상상인
452670,상상인제4호기업인수목적
001290,상상인증권보통주
041650,상신브레이크보통주
091580,상신이디피
263810,상신전자
089980,상아프론테크
042940,상지건설
042600,새로닉스
075180,새론오토모티브
107600,새빗켐
411080,샌즈랩
252990,샘씨엔에스
007540,샘표보통주
248170,샘표식품보통주
378800,샤페론
294630,서남
038070,서린바이오사이언스
006730,서부티엔디
079650,서산
100660,서암기계공업
007860,서연보통주
200880,서연이화보통주
019770,서연탑메탈
017390,서울도시가스보통주
043710,서울리거
092190,서울바이오시스
046890,서울반도체
031210,서울보증보험보통주
004410,서울식품공업보통주
063170,서울옥션
027040,서울전자통신
018680,서울제약
036120,서울평가정보
021050,서원보통주
093920,서원인텍
189860,서전기전
178320,서진시스템
122690,서진오토모티브
140070,서플러스글로벌
011370,서한
065710,서호전기
008490,서흥보통주
035890,서희건설
357550,석경에이티
003100,선광
007610,선도전기보통주
067370,선바이오
217620,선샤인푸드
002820,선앤엘보통주
171090,선익시스템
136490,선진보통주
086710,선진뷰티사이언스
014620,성광벤드
037350,성도이엔지
014910,성문전자보통주
004980,성신양회보통주
011300,성안머티리얼스보통주
458650,성우
081580,성우전자
045300,성우테크론
015750,성우하이텍
365340,성일하이텍
000180,성창기업지주보통주
080470,성창오토텍
043260,성호전자
148150,세경하이테크
002420,세기상사보통주
188260,세니젠
053060,세동
340440,세림비앤지
017510,세명전기공업
004360,세방보통주
004490,세방전지보통주
011560,세보엠이씨
267080,세븐브로이맥주
396300,세아메카닉스
001430,세아베스틸지주보통주
306200,세아제강보통주
003030,세아제강지주보통주
019440,세아특수강보통주
058650,세아홀딩스보통주
013000,세우글로벌보통주
100700,세운메디칼
024830,세원물산
091090,세원이앤씨보통주
021820,세원정공보통주
067830,세이브존I&C보통주
258830,세종메디칼
036630,세종텔레콤
039310,세중
075580,세진중공업보통주
067770,세진티에스
053450,세코닉스
222810,세토피아
252500,세화피앤씨
321370,센서뷰
347000,센코
331920,셀레믹스
352770,셀레스트라
471820,셀로맥스사이언스
049180,셀루메드
299660,셀리드
108860,셀바스에이아이
208370,셀바스헬스케어
318160,셀바이오휴먼텍
308430,셀비온
068270,셀트리온보통주
068760,셀트리온제약
068940,셀피글로벌
007720,소노스퀘어
060230,소니드
290690,소룩스
950200,소마젠
032680,소프트센
258790,소프트캠프
066910,손오공
215090,솔디펜스
336370,솔루스첨단소재보통주
248070,솔루엠보통주
035610,솔본
357780,솔브레인
036830,솔브레인홀딩스
304100,솔트룩스
328380,솔트웨어
004430,송원산업보통주
086980,쇼박스
017550,수산세보틱스보통주
050960,수산아이앤티
126720,수산인더스트리보통주
084180,수성웹툰
253840,수젠텍
067160,숲
298830,슈어소프트테크
236200,슈프리마
094840,슈프리마에이치큐
192440,슈피겐코리아
424960,스마트레이더시스템
099440,스맥
357880,스카이월드와이드
276040,스코넥엔터테인먼트
204210,스타에스엠자기관리부동산투자회사보통주
060240,스타코링크
115570,스타플렉스
330730,스톤브릿지벤처스
352090,스톰테크
204630,스튜디오 산타클로스 엔터테인먼트
253450,스튜디오드래곤 주식회사
408900,스튜디오미르
415380,스튜디오삼익
026890,스틱인베스트먼트보통주
013810,스페코
347700,스피어
049830,승일
020710,시공테크
033170,시그네틱스
048870,시너지이노베이션
025320,시노펙스
134790,시디즈보통주
340810,시선에이아이
269620,시스웍
000480,시알홀딩스보통주
056090,시지메드텍
429270,시지트로닉스
418250,시큐레터
131090,시큐브
462870,시프트업보통주
016590,신대양제지보통주
290520,신도기연
029530,신도리코보통주
004970,신라교역보통주
001000,신라섬유
025870,신라에스지
215600,신라젠
065350,신성델타테크
416180,신성에스티
011930,신성이엔지보통주
005390,신성통상보통주
004170,신세계보통주
035510,신세계아이앤씨 보통주
031430,신세계인터내셔날보통주
031440,신세계푸드보통주
006880,신송홀딩스보통주
162300,신스틸
290560,신시웨이
002800,신신제약
005800,신영와코루보통주
001720,신영증권보통주
472220,신영해피투모로우제10호기업인수목적
430220,신영해피투모로우제8호기업인수목적
009270,신원보통주
017000,신원종합개발
002700,신일전자보통주
012790,신일제약
138070,신진에스엠
226330,신테카바이오
002870,신풍보통주
019170,신풍제약보통주
481850,신한글로벌액티브리츠보통주
055550,신한금융지주회사보통주
404990,신한서부티엔디리츠보통주
293940,신한알파리츠보통주
452980,신한제11호기업인수목적
474660,신한제12호기업인수목적
474930,신한제13호기업인수목적
487360,신한제14호기업인수목적
487830,신한제15호기업인수목적
496070,신한제16호기업인수목적
056700,신화인터텍
187270,신화콘텍
004080,신흥보통주
243840,신흥에스이씨
257720,실리콘투
222800,심텍
036710,심텍홀딩스
444530,심플랫폼
234030,싸이닉솔루션
160980,싸이맥스
356890,싸이버원
217330,싸이토젠
102280,쌍방울
004770,써니전자보통주
217320,썬테크
208640,썸에이지
222420,쎄노텍
037760,쎄니트
081180,쎄크
099320,쎄트렉아이
049960,쎌바이오텍
088280,쏘닉스
403550,쏘카보통주
050890,쏠리드
394800,쓰리빌리언
177900,쓰리에이로직스
475400,씨메스
109670,씨싸이트
066790,씨씨에스충북방송
222080,씨아이에스
004920,씨아이테크보통주
236030,씨알푸드
103660,씨앗
352480,씨앤씨인터내셔널
245450,씨앤에스링크
264660,씨앤지하이테크
352700,씨앤투스
056730,씨앤티85
458870,씨어스테크놀로지
065770,씨에스
297090,씨에스베어링
083660,씨에스에이코스믹
112610,씨에스윈드보통주
900120,씨엑스아이헬스케어테크놀리지그룹리미티드
359090,씨엔알리서치
115530,씨엔플러스
115480,씨유메디칼시스템
376290,씨유테크
189330,씨이랩
000120,씨제이대한통운보통주
311690,씨제이바이오사이언스
079160,씨제이씨지브이 보통주
035760,씨제이이엔엠
097950,씨제이제일제당 주식회사 보통주
051500,씨제이프레시웨이
096530,씨젠
083790,씨지인바이츠
480370,씨케이솔루션보통주
101240,씨큐브
060590,씨티씨바이오
308170,씨티알모빌리티보통주
260930,씨티케이
413630,씨피시스템
013990,아가방앤컴퍼니
123860,아나패스
025980,아난티
008700,아남전자보통주
125210,아모그린텍
090430,아모레퍼시픽 보통주
002790,아모레퍼시픽홀딩스보통주
052710,아모텍
074430,아미노로직스
092040,아미코젠
083930,아바코
149950,아바텍
036010,아비코전자
002030,아세아보통주
183190,아세아시멘트보통주
002310,아세아제지보통주
050860,아세아텍
012170,아센디오보통주
136410,아셈스
246720,아스타
450950,아스테라시스
067390,아스트
159010,아스플로
127710,아시아경제
267850,아시아나IDT보통주
020560,아시아나항공 보통주
227610,아우딘퓨쳐스
331740,아우토크립트
143160,아이디스
054800,아이디스홀딩스
332370,아이디피
066430,아이로보틱스
122900,아이마켓코리아보통주
339950,아이비김영
469750,아이비젼웍스
442770,아이비케이에스제21호기업인수목적
448760,아이비케이에스제22호기업인수목적
467930,아이비케이에스제23호기업인수목적
469480,아이비케이에스제24호기업인수목적
460470,아이빔테크놀로지
099190,아이센스
461300,아이스크림미디어
289010,아이스크림에듀
214430,아이쓰리시스템
040910,아이씨디
368600,아이씨에이치
456010,아이씨티케이
052860,아이앤씨테크놀로지
464500,아이언디바이스
010780,아이에스동서보통주
095340,아이에스시
212710,아이에스티이
038880,아이에이
307180,아이엘
101390,아이엠
139130,아이엠금융지주보통주
461030,아이엠비디엑스
052220,아이엠비씨
456570,아이엠지티
451220,아이엠티
447690,아이오바이오
090150,아이윈
123010,아이윈플러스
031310,아이즈비전
462980,아이지넷
185490,아이진
059100,아이컴포넌트
149010,아이케이세미콘
262840,아이퀘스트
175250,아이큐어
052460,아이크래프트
119830,아이텍
052770,아이톡시
124500,아이티센글로벌
031820,아이티센씨티에스보통주
010280,아이티센엔텍
243870,아이티센코어
232830,아이티센피엔에스
372800,아이티아이즈
084850,아이티엠반도체
114840,아이패밀리에스씨
139990,아주스틸보통주
027360,아주아이비투자
032080,아즈텍더블유비이
013310,아진산업
059120,아진엑스텍
009320,아진전자부품보통주
203690,아크솔루션스
158430,아톤
200350,아티스트스튜디오
321820,아티스트컴퍼니
149300,아퓨어스
102950,아하
001540,안국약품
053800,안랩
